iter	Passed	Remaining
0	9	9024
1	14	7455
2	21	7122
3	27	6783
4	33	6579
5	40	6678
6	47	6675
7	53	6644
8	59	6578
9	66	6583
10	72	6498
11	78	6423
12	83	6377
13	90	6348
14	96	6308
15	103	6342
16	109	6329
17	115	6294
18	121	6291
19	127	6262
20	134	6277
21	141	6281
22	147	6270
23	154	6262
24	159	6232
25	166	6252
26	173	6244
27	179	6241
28	186	6245
29	192	6232
30	199	6243
31	205	6220
32	211	6199
33	218	6203
34	224	6185
35	230	6175
36	237	6173
37	242	6150
38	249	6145
39	255	6129
40	261	6116
41	267	6106
42	274	6102
43	280	6100
44	287	6091
45	293	6084
46	299	6075
47	305	6066
48	312	6061
49	318	6054
50	327	6088
51	334	6089
52	340	6077
53	347	6084
54	354	6086
55	360	6076
56	366	6070
57	372	6057
58	379	6057
59	385	6042
60	392	6037
61	399	6044
62	405	6028
63	412	6036
64	419	6027
65	426	6033
66	432	6017
67	438	6003
68	444	5997
69	450	5991
70	457	5989
71	463	5978
72	470	5970
73	477	5977
74	483	5961
75	490	5965
76	497	5960
77	503	5949
78	509	5943
79	515	5933
80	522	5923
81	527	5904
82	533	5895
83	540	5889
84	547	5891
85	553	5883
86	559	5869
87	565	5859
88	572	5857
89	578	5844
90	583	5831
91	591	5838
92	597	5822
93	603	5815
94	609	5802
95	614	5788
96	620	5776
97	626	5767
98	632	5757
99	639	5755
100	646	5751
101	653	5753
102	660	5749
103	667	5749
104	672	5736
105	674	5692
106	680	5678
107	687	5678
108	693	5665
109	699	5656
110	705	5649
111	711	5639
112	717	5635
113	724	5628
114	729	5616
115	736	5612
116	743	5608
117	749	5603
118	755	5592
119	761	5586
120	768	5583
121	774	5576
122	782	5578
123	789	5574
124	796	5575
125	802	5569
126	809	5561
127	815	5556
128	821	5549
129	827	5539
130	834	5536
131	840	5529
132	847	5523
133	854	5519
134	860	5511
135	866	5506
136	872	5499
137	879	5491
138	887	5495
139	893	5487
140	899	5482
141	906	5474
142	912	5470
143	920	5469
144	927	5468
145	934	5468
146	942	5466
147	949	5467
148	956	5463
149	964	5465
150	971	5460
151	978	5458
152	985	5455
153	993	5456
154	999	5449
155	1006	5444
156	1012	5439
157	1019	5431
158	1025	5423
159	1030	5412
160	1036	5401
161	1042	5391
162	1049	5389
163	1055	5380
164	1062	5375
165	1068	5367
166	1075	5364
167	1081	5354
168	1087	5347
169	1093	5340
170	1100	5337
171	1107	5330
172	1113	5322
173	1119	5314
174	1126	5309
175	1132	5304
176	1139	5297
177	1145	5290
178	1151	5280
179	1157	5274
180	1164	5269
181	1171	5263
182	1177	5258
183	1184	5251
184	1190	5245
185	1196	5234
186	1201	5224
187	1208	5217
188	1213	5207
189	1220	5203
190	1226	5196
191	1233	5189
192	1239	5184
193	1246	5177
194	1252	5172
195	1259	5165
196	1265	5159
197	1272	5152
198	1277	5142
199	1284	5137
200	1290	5129
201	1296	5120
202	1302	5113
203	1307	5102
204	1313	5094
205	1320	5089
206	1326	5080
207	1332	5073
208	1338	5065
209	1344	5056
210	1350	5050
211	1356	5041
212	1365	5045
213	1374	5048
214	1381	5042
215	1387	5036
216	1394	5030
217	1400	5024
218	1407	5019
219	1413	5011
220	1419	5005
221	1426	4997
222	1433	4993
223	1439	4985
224	1445	4978
225	1452	4972
226	1458	4965
227	1464	4960
228	1471	4955
229	1478	4950
230	1484	4942
231	1490	4934
232	1496	4927
233	1503	4920
234	1509	4913
235	1516	4907
236	1521	4899
237	1528	4894
238	1534	4887
239	1541	4881
240	1547	4875
241	1553	4866
242	1560	4860
243	1566	4854
244	1573	4849
245	1579	4841
246	1585	4833
247	1591	4824
248	1596	4815
249	1602	4808
250	1608	4800
251	1614	4792
252	1620	4784
253	1627	4779
254	1633	4772
255	1639	4765
256	1645	4757
257	1652	4752
258	1658	4744
259	1664	4736
260	1670	4731
261	1677	4726
262	1697	4756
263	1702	4746
264	1709	4742
265	1715	4734
266	1721	4727
267	1728	4720
268	1734	4712
269	1740	4706
270	1747	4700
271	1753	4693
272	1759	4686
273	1765	4678
274	1772	4672
275	1779	4667
276	1786	4661
277	1792	4654
278	1798	4646
279	1805	4643
280	1811	4636
281	1818	4629
282	1824	4623
283	1831	4616
284	1837	4610
285	1843	4602
286	1849	4594
287	1855	4588
